Data Structure,Count,Sample Programs,Color Code
String,238,"program1.c, program2.cpp, program3.java ... and 235 more",#F7DC6F
Array,79,"program92.java, program93.java, program94.java ... and 76 more",#45B7D1
Singly Linked List,64,"program303.c, program304.c, program305.c ... and 61 more",#FF6B6B
Basic Program,42,"program4.c, program23.c, program25.c ... and 39 more",#52B788
File Handling,40,"program10.c, program11.c, program16.c ... and 37 more",#85C1E2
Doubly Linked List,27,"program394.c, program395.c, program396.c ... and 24 more",#4ECDC4
Arithmetic,26,"program8.c, program9.c, program13.c ... and 23 more",#F72585
Basic Input/Output,24,"program5.c, program6.c, program7.c ... and 21 more",#F8B739
Basic,13,"program60.c, program61.c, program62.c ... and 10 more",#FFFFFF
Conditional,7,"program12.c, program14.c, program15.c ... and 4 more",#560BAD
Stack,6,"program491.cpp, program492.cpp, program493.cpp ... and 3 more",#96CEB4
Queue,5,"program496.cpp, program497.cpp, program498.cpp ... and 2 more",#FFEAA7
Tree,5,"program617.java, program622.java, program623.java ... and 2 more",#DDA0DD
Looping,4,"program65.c, program66.c, program67.c ... and 1 more",#7209B7
Hash Table,3,"program300.java, program301.java, program302.java",#98D8C8
Dynamic Memory,2,"program133.c, program134.c",#BB8FCE
